;0;0
АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯ;33;7
а;1;1
её;2;2
да;2;0
та;2;2
аб;2;1
ещё;3;3
амёб;4;3
амёба;5;3
грёбла;6;3
ага;3;0
ада;3;1
аба;3;3
своё;4;4
огрёб;5;4
клеёв;5;4
понёва;6;4
нажёг;5;4
сем-ка;6;0
актёра;6;4
амба;4;0
аира;4;1
аила;4;2
айва;4;4
бомба;5;2
араба;5;3
алчба;5;5
ослаб;5;4
канав;5;4
кулаг;5;4
карана;6;0
айкала;6;1
аукала;6;2
арабка;6;3
айрана;6;4
аймака;6;6
чтоб;4;0
алчб;4;1
божб;4;2
араб;4;3
горбка;6;6
адов;4;1
баев;4;2
агав;4;3
елева;5;1
битва;5;2
брава;5;3
детва;5;5
жнивьё;6;6
правда;6;0
яловка;6;1
мозгла;6;2
гривка;6;3
дневна;6;6
друг;4;0
ичиг;4;1
булг;4;2
ашуг;4;3
визга;5;2
блага;5;3
онагра;6;3
дожгла;6;6
пред;4;0
ирод;4;1
балд;4;2
азид;4;3
когда;5;0
ирода;5;1
банда;5;2
блуда;5;3
гряда;5;5
мордв;5;2
ягодка;6;1
кардна;6;2
грудка;6;3
грудна;6;6
свадьба;7;3
горе;4;0
аире;4;1
аиле;4;2
алее;4;3
айве;4;4
бирж;4;2
вояж;4;3
бабьё;5;5
брана;5;0
агнца;5;1
аорта;5;2
абаза;5;3
абака;5;5
бритьё;6;6
антука;6;0
абцуга;6;1
аортна;6;2
адепта;6;3
абхаза;6;4
адреса;6;6
ястреба;7;1
выгреба;7;2
просьба;7;3
апломба;7;4
авгиев;6;1
абазам;6;3
абакам;6;5
отруб;5;1
борьб;5;2
блямб;5;3
ангоб;5;4
аиров;5;1
аилов;5;2
братв;5;3
айвов;5;4
вкруг;5;0
абцуг;5;1
берег;5;2
брызг;5;3
батог;5;4
агнце;5;1
абазе;5;3
абаке;5;5
абхаз;5;4
абам;4;3
агами;5;0
адами;5;1
абами;5;3
абаки;5;5
абриса;6;1
аборта;6;3
аббата;6;4
абазов;6;3
кинозвёзд;9;7
кинозвёздам;11;7
кинозвёздами;12;7
кинозвёздах;11;7
альпага;7;0
авгиева;7;1
аортова;7;2
агарова;7;3
антиква;7;4
абсурд;6;4
некогда;7;2
детсада;7;2,5
прадеда;7;3
абсурда;7;4
абрисе;6;1
аборте;6;3
аббате;6;4
анализа;7;3
аллонжа;7;4
абцуги;6;1
аварии;6;3
абреки;6;4
абулии;6;5
абакой;6;3
абакой;6;5
аглицк;6;1
аварок;6;3
альпака;7;0
аглицка;7;1
аварска;7;3
абхазка;7;4
агнцам;6;1
абазом;6;3
авизен;6;3
абазин;6;5
ассиро-вавилонска;17;4,13
ассиро-вавилонски;17;4,13
ассиро-вавилонские;18;4,13
ассиро-вавилонский;18;4,13
ассиро-вавилонским;18;4,13
ассиро-вавилонскими;19;4,13
ассиро-вавилонских;18;4,13
ассиро-вавилонская;18;4,13
батожьё;7;7
абрисна;7;1
аориста;7;2
амириса;7;3
абсента;7;4
аббат;5;4
азартна;7;3
анкетна;7;4
абазу;5;3
абаку;5;5
аукнула;7;2
авалям;6;3
агарян;6;5
азбучна;7;1
балльна;7;2
аморфна;7;3
абзацна;7;4
абажур;6;5
абляута;7;4
абажура;7;5
адреска;7;7
мостовьё;8;8
обождана;8;0
абштриха;8;1
авиабаза;8;1,6
барменша;8;2
бой-баба;8;2,6
авансова;8;3
плавбаза;8;3,6
аббатска;8;4
абажурна;8;5
аббатиса;8;6
антитела;8;8
авторства;9;1
авиаматка;9;1,6
авиашкола;9;1,7
бабничала;9;2
жиробанка;9;2,6
бензобака;9;2,7
агентства;9;3
промбанка;9;3,6
стопудова;9;3,7
аббатства;9;4
абазинска;9;5
авангарда;9;6
австрияка;9;7
баловника;9;9
хмелеграба;10;8
искровцев;9;1
бархатцев;9;2
алюторцев;9;3
ансамблев;9;4
адыгейцев;9;5
бестканев;9;6
архиереев;9;7
аккузатив;9;8
автопоезда;10;1,6
ультралева;10;1,8
вахтпарада;10;2,8
кинозвезда;10;2,10
агитпоезда;10;3,6
прозодежда;10;3,7
ансамблева;10;4
алюминиева;10;5
бестканева;10;6
антропоида;10;7
автострада;10;8
автогужева;10;10
агитбригад;10;3,9
агитбригада;11;3,9
перезаклада;11;9
агитбригадам;12;3,9
перезакладам;12;9
подшпаклёван;12;9
подшпаклёвана;13;9
перелёживавшего;15;6
переналадившего;15;8
перемалевавшего;15;10
заговаривавшее;14;6
переналадившее;14;8
перемалевавшее;14;10
понеразгаданнее;15;9
понеразгаданней;15;9
заговаривавший;14;6
переналадивший;14;8
перемалевавший;14;10
подшпаклёванное;15;9
заговаривавшими;15;6
переналадившими;15;8
перемалевавшими;15;10
подшпаклёванный;15;9
подшпаклёванным;15;9
подшпаклёванными;16;9
перелёживавшему;15;6
переналадившему;15;8
перемалевавшему;15;10
подшпаклёванных;15;9
побезотлагательнее;18;11
побезотлагательней;18;11
подшпаклёванного;16;9
перезакладах;12;9
хмелеграб;9;8
ультралев;9;1,8
эсэсовцев;9;3
плюгавцев;9;5
пустобаев;9;7
радиобуёв;9;8
выпендривавшегося;17;4
вкарабкивавшегося;17;5
выворачивавшегося;17;6
высвобождавшегося;17;10
перезакладами;13;9
переубеждавшимися;17;10
подшпаклёванному;16;9
выпендривавшийся;16;4
вкарабкивавшийся;16;5
выворачивавшийся;16;6
высвобождавшийся;16;10
подшпаклёванная;15;9
заговаривавшим;14;6
перемалевавшим;14;10
переубеждавшимся;16;10
подшпаклёванную;15;9
перелёживавших;14;6
перемалевавших;14;10
подбадривавшихся;16;5
перемахивавшихся;16;6
